ENTITY_ID,SYS_ID,ACCOUNT_NO,REF_CASE_NO,REF_NOTICE_NO,DOC_TYPE,DOC_CONTROL_NO,ORG_ID,ORG_NAME,BATCH_NO,BATCH_DATE,DOWNLOADABLE_IND,PUBLIC_IND
"CDD19108","19108006","","","","","","","","06082013182527","20130806","1","1"
"CDD19109","19109006","","","","","","","","06082013182527","20130806","1","1"
"CDD19110","19110006","","","","","","","","06082013182527","20130806","1","1"
"CDD19111","19111006","","","","","","","","06082013182527","20130806","1","1"
"CDD19112","19112006","","","","","","","","06082013182527","20130806","1","1"
"CDD19113","19113006","","","","","","","","06082013182527","20130806","1","1"
